pergunta,resposta,id,data
Vem com HD ou SSD? Pois tem uma foto de SSD no anúncio mas está escrito HD no título,"Olá, O produto vem com um HD de 500 GB. Estou à disposição para qualquer outra dúvida. Aguardamos sua compra e permanecemos à sua disposição!",MLB37580287,25/11/2025
Boa noite O Windows é pro outro home?,Windows PRO,MLB37580287,13/10/2025
Boa noite Que programas estão incluídos no Pc?,Windows 11 é Pacote Office 2021,MLB37580287,28/09/2025
Pode fazer o anúncio pra mim?,consegue fazer no pix?,MLB37580287,27/08/2025
Você coloca gravador / leitor de cd /dvd.??,"boa noite, sim sim. aumenta 90,00 Reais",MLB37580287,26/08/2025
Vocês tem esse computador com o SSD 480 gb?,"Olá, bom dia. Tudo bem? Caso você precise personalizar algum item ou tiver alguma dúvida, estamos aqui para ajudar! Entre em contato diretamente com nosso setor de vendas, e um de nossos experientes vendedores terá o prazer de atendê-lo(a) e fornecer todas as informações que você precisa. Infelizmente, não podemos fornecer detalhes de contato por aqui, mas você pode nos encontrar facilmente digitando ""site2eletro"" em seu navegador de internet. Assim que estiver na nossa página inicial, você encontrará os detalhes de contato do nosso setor de vendas na parte superior da página. Estamos ansiosos para ajudá-lo(a) e garantir que sua experiência de compra conosco seja excepcional! Não hesite em nos contatar durante o horário comercial. Até breve...Ver mais",MLB39101465,25/11/2025
Quantos meses de garantia tem o produto?,Boa noite. O produto tem 6 meses de garantia de fábrica.,MLB39101465,24/11/2025
Caso o produto apresente algum problema eu tenho que enviar pra vocês consertarem.?,"Olá, boa tarde. Tudo bem? VOcê deverá entrar em contato com o nosso Sac, através do chat com o vendedor. Até breve! Aguardamos sua compra na 2Eletro.",MLB39101465,24/11/2025
boa tarde! fiz um compra com voces e voces cancelaram sem explicação do motivo?,"Ola, foi algo errado no site, tente novamente por favor.",MLB43778383,03/11/2025
boa tarde!,"Ola, boa tarde.",MLB43778383,03/11/2025
boa tarde!,Ola,MLB43778383,03/11/2025
Já vem com o pacote Office instalado?,"Ola, sim mandamos windows e office instalados.",MLB43778383,02/06/2025
Ele já vem com a placa de video? se sim qual?,"Ola, ele vai com placa de video onboard na propria placa mãe, pode ser adicionada placa de video offboard.",MLB43778383,02/06/2025
Com 16gb de ram e SSD de 480gb fica quanto ?,"Ola, R$ 1299,00",MLB43778383,27/05/2025
Qual marca e modelo da placa mãe? E qual a entrada de placa de vídeo? Pci express 2.0 ?,"Ola, placa mãe h110 gamming. sim possui.",MLB43778383,16/05/2025
Vem como os cabos pra ligar ?,"Ola, não acompanha cabos externos.",MLB43778383,14/05/2025
qual e a pareca da placa mae?,"Olá, Desculpe não entendi Aguardamos sua compra e permanecemos à sua disposição!",MLB35164691,21/11/2025
qual e a pareca da placa mae?,"desculpe, não entendi",MLB35164691,21/11/2025
